"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2017","순이동 (명)",0,-98486,-28398,-11936,-1670,-8118,-16175,-11917,34690,116162,2035,2262,19401,-7206,-3047,-5581,3979,14005
"2017","시도내이동-시군구내 (명)",2701400,454536,139074,110696,147772,75293,64181,47645,23245,740434,92243,95481,120050,110582,85559,140628,200391,53590
"2017","시도내이동-시군구간 전입 (명)",2041896,564271,182532,125447,118622,66881,67475,47144,0,518753,38720,24344,41562,56756,51613,52607,75484,9685
"2017","시도내이동-시군구간 전출 (명)",2041896,564271,182532,125447,118622,66881,67475,47144,0,518753,38720,24344,41562,56756,51613,52607,75484,9685
"2017","시도간전입 (명)",2410930,454130,117467,85039,143071,65964,79793,40410,58828,629137,80690,77352,127126,64709,90332,117826,137304,41752
"2017","시도간전출 (명)",2410930,552616,145865,96975,144741,74082,95968,52327,24138,512975,78655,75090,107725,71915,93379,123407,133325,27747
"2018","총전입 (명)",7297099,1439707,416095,321158,433639,218892,212879,127922,86433,2041715,216398,218886,292305,243324,224384,309446,389714,104202
"2018","총전출 (명)",7297099,1549937,442854,335400,433706,225108,227632,140576,55000,1871621,220252,213737,282221,257097,232414,318671,395524,95349
"2018","순이동 (명)",0,-110230,-26759,-14242,-67,-6216,-14753,-12654,31433,170094,-3854,5149,10084,-13773,-8030,-9225,-5810,8853
"2018","시도내이동-시군구내 (명)",2776681,430780,130540,113477,155992,80537,65470,44554,28450,788471,103018,112186,126255,126328,83406,138178,193649,55390
"2018","시도내이동-시군구간 전입 (명)",2091234,548796,178172,122144,131244,69166,67848,44138,0,578031,37068,26684,43410,57018,51567,53977,72348,9623
"2018","시도내이동-시군구간 전출 (명)",2091234,548796,178172,122144,131244,69166,67848,44138,0,578031,37068,26684,43410,57018,51567,53977,72348,9623
"2018","시도간전입 (명)",2429184,460131,107383,85537,146403,69189,79561,39230,57983,675213,76312,80016,122640,59978,89411,117291,123717,39189
"2018","시도간전출 (명)",2429184,570361,134142,99779,146470,75405,94314,51884,26550,505119,80166,74867,112556,73751,97441,126516,129527,30336
"2019","총전입 (명)",7104398,1426493,411704,312419,420014,217130,212424,142056,82398,1940962,217626,211396,258790,228775,224483,306511,396251,94966
"2019","총전출 (명)",7104398,1476081,435058,336092,422351,221005,228766,152228,58674,1806296,215965,208831,259584,241523,233271,311082,405561,92030
