"시도별","경제활동별",2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"시도별","경제활동별",실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
"시도별","경제활동별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"광주광역시","지역내총생산(시장가격)",22420270,1591421,7.6,22585186,164916,0.7,23198230,613044,2.7,24953345,1755115,7.6,26193910,1240565,5.0,27392264,1198354,4.6,27791206,398942,1.5,27180608,-610598,-2.2,30457831,3277223,12.1,31011787,553956,1.8,31650181,638394,2.1,32859385,1209204,3.8,34169569,1310184,4.0,34845589,676020,2.0,35933462,1087873,3.1,36384616,451154,1.3,38216077,1831461,5.0,39624032,1407955,3.7,39530642,-93390,-0.2,41257137,1726495,4.4
"광주광역시","농업, 임업 및 어업",208795,-53118,-20.3,201607,-7188,-3.4,196304,-5303,-2.6,166722,-29582,-15.1,164981,-1741,-1.0,171351,6370,3.9,158449,-12902,-7.5,169754,11305,7.1,156303,-13451,-7.9,148818,-7485,-4.8,142887,-5931,-4.0,141909,-978,-0.7,154983,13074,9.2,166544,11561,7.5,146819,-19725,-11.8,142866,-3953,-2.7,132131,-10735,-7.5,126809,-5322,-4.0,91713,-35096,-27.7,102801,11088,12.1
"광주광역시","광제조업",4500978,336226,8.1,4456613,-44365,-1.0,4852955,396342,8.9,6239482,1386527,28.6,6215156,-24326,-0.4,6517306,302150,4.9,6558765,41459,0.6,6053139,-505626,-7.7,8500218,2447079,40.4,8441183,-59035,-0.7,8218091,-223092,-2.6,8502097,284006,3.5,8872232,370135,4.4,9157497,285265,3.2,9151740,-5757,-0.1,9489299,337559,3.7,9762148,272849,2.9,9960031,197883,2.0,10138726,178695,1.8,11036105,897379,8.9
"광주광역시","전기, 가스, 증기 및 공기 조절 공급업",417147,-15265,-3.5,380143,-37004,-8.9,435463,55320,14.6,429945,-5518,-1.3,460380,30435,7.1,568626,108246,23.5,465675,-102951,-18.1,465127,-548,-0.1,486168,21041,4.5,439690,-46478,-9.6,514363,74673,17.0,389120,-125243,-24.3,292157,-96963,-24.9,286621,-5536,-1.9,330644,44023,15.4,360499,29855,9.0,466452,105953,29.4,559019,92567,19.8,601919,42900,7.7,668946,67027,11.1
"광주광역시","건설업",1359870,-31987,-2.3,1531538,171668,12.6,1657719,126181,8.2,1741362,83643,5.0,1932659,191297,11.0,1888089,-44570,-2.3,1849070,-39019,-2.1,1421146,-427924,-23.1,1261351,-159795,-11.2,1208366,-52985,-4.2,1384411,176045,14.6,1601549,217138,15.7,1536506,-65043,-4.1,1403575,-132931,-8.7,1518245,114670,8.2,1492858,-25387,-1.7,1669442,176584,11.8,1627794,-41648,-2.5,1819536,191742,11.8,1852024,32488,1.8
"광주광역시","서비스업",14251692,1352043,10.5,14402967,151275,1.1,14557410,154443,1.1,14972350,414940,2.9,15882717,910367,6.1,16705283,822566,5.2,17176093,470810,2.8,17447509,271416,1.6,18172732,725223,4.2,18765465,592733,3.3,19385352,619887,3.3,20099450,714098,3.7,20908232,808782,4.0,21416287,508055,2.4,22261680,845393,3.9,22784124,522444,2.3,23510008,725884,3.2,24610472,1100464,4.7,24158973,-451499,-1.8,24966967,807994,3.3
"대전광역시","지역내총생산(시장가격)",25497366,1683792,7.1,26757005,1259639,4.9,27540951,783946,2.9,28061744,520793,1.9,29074607,1012863,3.6,29906786,832179,2.9,30273625,366839,1.2,31068315,794690,2.6,33247905,2179590,7.0,34446444,1198539,3.6,34977219,530775,1.5,35375467,398248,1.1,36081650,706183,2.0,37162614,1080964,3.0,38456557,1293943,3.5,38772485,315928,0.8,39135729,363244,0.9,40684092,1548363,4.0,41208249,524157,1.3,42500095,1291846,3.1
"대전광역시","농업, 임업 및 어업",77733,-2722,-3.4,69502,-8231,-10.6,67905,-1597,-2.3,62370,-5535,-8.2,60301,-2069,-3.3,61345,1044,1.7,59261,-2084,-3.4,55391,-3870,-6.5,47390,-8001,-14.4,50304,2914,6.1,47254,-3050,-6.1,41992,-5262,-11.1,38289,-3703,-8.8,37770,-519,-1.4,37052,-718,-1.9,37521,469,1.3,35306,-2215,-5.9,35167,-139,-0.4,34368,-799,-2.3,38402,4034,11.7
"대전광역시","광제조업",4523814,514256,12.8,4123764,-400050,-8.8,4566979,443215,10.7,4274431,-292548,-6.4,4583651,309220,7.2,4895298,311647,6.8,4425142,-470156,-9.6,4386900,-38242,-0.9,5044399,657499,15.0,5081475,37076,0.7,5469230,387755,7.6,5659325,190095,3.5,6001056,341731,6.0,6548595,547539,9.1,6607363,58768,0.9,6475709,-131654,-2.0,6258808,-216901,-3.3,6520285,261477,4.2,6609013,88728,1.4,6936783,327770,5.0
"대전광역시","전기, 가스, 증기 및 공기 조절 공급업",592442,-2178,-0.4,537943,-54499,-9.2,644380,106437,19.8,631711,-12669,-2.0,640609,8898,1.4,699259,58650,9.2,610964,-88295,-12.6,600357,-10607,-1.7,534375,-65982,-11.0,514709,-19666,-3.7,609620,94911,18.4,457882,-151738,-24.9,314834,-143048,-31.2,315408,574,0.2,363332,47924,15.2,399444,36112,9.9,480451,81007,20.3,585233,104782,21.8,656220,70987,12.1,638690,-17530,-2.7
