"행정구역별(읍면동)","연령별",2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"강원도","70~74세",67980,68572,68564,68023,67455
"강원도","75~79세",64184,64655,64630,64713,63132
"강원도","80~84세",38061,41514,44795,47478,49981
"강원도","85~89세",17753,18843,20161,21950,24424
"강원도","90~94세",6596,6971,7729,8481,9001
"강원도","95~99세",1477,1687,1805,2005,2139
"강원도","100세이상",189,200,246,254,330
"강원도","15세미만",181656,176318,171615,168414,164532
"강원도","15~64세",1068237,1064037,1056039,1044372,1033229
"강원도","65세이상",271493,280036,292473,308977,324129
"강원도","85세이상",26015,27701,29941,32690,35894
"강원도","평균연령",43.7,44.3,44.9,45.5,46.1
"강원도","중위연령",45.5,46.2,46.9,47.8,48.6
"충청북도","합계",1611009,1620935,1629343,1632088,1624764
"충청북도","0~4세",64931,62106,58676,54135,49661
"충청북도","5~9세",72095,71283,71263,70381,68719
"충청북도","10~14세",71447,71002,70241,71406,72793
"충청북도","15~19세",96815,91800,87200,80349,74333
"충청북도","20~24세",118717,117659,115325,112671,104543
"충청북도","25~29세",99523,103505,107289,110612,109466
"충청북도","30~34세",100098,97768,96888,96749,96856
"충청북도","35~39세",116122,117850,115928,111096,106838
"충청북도","40~44세",119249,115493,113640,114380,115376
"충청북도","45~49세",135000,133310,130855,128136,123134
"충청북도","50~54세",126496,130773,137475,137809,139405
"충청북도","55~59세",137450,137525,135596,135185,130685
"충청북도","60~64세",106038,115153,121813,128155,137471
"충청북도","65~69세",72124,75066,80612,89589,99920
"충청북도","70~74세",57665,58786,60669,62384,64180
"충청북도","75~79세",56653,57258,56436,56045,54105
"충청북도","80~84세",37632,39429,41700,42272,43666
"충청북도","85~89세",16273,17889,19575,21740,24160
"충청북도","90~94세",5306,5759,6560,7230,7648
"충청북도","95~99세",1241,1361,1427,1556,1573
"충청북도","100세이상",134,160,175,208,232
"충청북도","15세미만",208473,204391,200180,195922,191173
"충청북도","15~64세",1155508,1160836,1162009,1155142,1138107
"충청북도","65세이상",247028,255708,267154,281024,295484
"충청북도","85세이상",22954,25169,27737,30734,33613
"충청북도","평균연령",41.9,42.4,42.9,43.5,44.2
"충청북도","중위연령",42.9,43.5,44.1,44.7,45.6
"충청남도","합계",2162426,2181416,2188649,2176636,2175960
"충청남도","0~4세",92367,88159,82712,75539,68991
"충청남도","5~9세",101812,101586,100919,99473,96901
"충청남도","10~14세",97084,97915,97767,99816,101779
"충청남도","15~19세",128419,123026,118253,107031,102279
"충청남도","20~24세",148933,148850,146308,138808,133478
"충청남도","25~29세",132844,135158,136534,135452,134304
"충청남도","30~34세",142897,139708,137629,134317,132294
"충청남도","35~39세",167736,171232,167421,158471,151521
"충청남도","40~44세",162681,160037,158686,161373,165136
"충청남도","45~49세",175351,175970,175448,172495,167069
"충청남도","50~54세",158122,163316,169756,170448,178200
"충청남도","55~59세",169336,172275,172052,170461,163026
"충청남도","60~64세",130826,141028,148630,157804,169640
"충청남도","65~69세",101470,102476,106388,115488,125219
"충청남도","70~74세",78118,80854,85117,91342,95159
"충청남도","75~79세",80124,79419,78007,76790,74383
"충청남도","80~84세",57553,60114,62787,62494,62909
